plan_id,project_id,name
660203fcf0d1164f2ca21f49,65fafd301de14e6abc572745,VID_20240323_134238_00_036
65983420e94c7f7aca4c695e,659833f8e94c7f7aca4c695d,Kuyk Survey Map
66fd6677b197fd361b3564e3,66fd6658b197fd361b3564e2,Map Plan
66325866b94804438b326c1d,6632516bb94804438b326c1b,Corridor Plan - Port of Houston
670579aee6529ed2b76d37f2,65fb72094577fc499df7ce73,Video Plan
6616b28e6dacb7804251df8b,6616b2726dacb7804251df8a,East Facade
660eea821afcae6a905f9351,660ee9991afcae6a905f934d,Pano - CS - S
662135e7144546e1f04b7329,661e8ca0b34b426b078b5591,Pano West Alabama/Galleria
67633c9e9518dbb4a21ba782,67605804f6653cb906ee77b6,VID_20241217_143025_00_026
6144d7149d358398ec96ad6b,6144d6e79d358398ec96ad69,Fannin South Drainage Video 2
669e69bd3e3e6317202152c3,65a16cb42c6275bd8326da0c,DJI_20240719111446_0001_V
657245b4738529600cca0eca,656f816a0acd6e3c70fe2e8b,Pano - S (120')
662810579b4e83470f94f0a3,6621326f41600f2840a2c162,VID_20240419_132410_00_045
6757518647bced778c608ead,662912374a6ada73afd0dd31,Bus Canopy Southside Center West to East
66e4952db905e86516c4fc7e,6144d4229d358398ec96ad65,Bus Svc Bays & Outdoors - Roscoe
672138c3f5f22848e3b3d4e3,660ee9991afcae6a905f934d,Photos Plan
65c688ac07b8204293a59601,65c3d60892a34e2350ebe5d2,Photo Group #2
66620e15c3eb8d7b91385324,649c7fd0807a7821944807ba,Adams to Harrisburg Bridge
664cd22557a1ab4ee05648f6,64d64887bc7d0f1a05f6ae0e,Center Pano
65e20070524dbb0088efe4aa,65d36866530547f90be8e85a,Pano 4
664cd32157a1ab4ee05649b9,64d64887bc7d0f1a05f6ae0e,West Pano
65d90121db93351d9d960ff0,65d370ea530547f90be8e867,Pano 4
65bd0f12ce095f1a30a88cad,65b7e62bae9aaa065d51c5a4,NW Station Pano6
65b7be0c9d458b13eb07c9a2,659833f8e94c7f7aca4c695d,Facade #6
6144e6429d358398ec96ad7a,6144d6e79d358398ec96ad69,Rail Drainage
615ca6d3462d4ffbbed658f6,615ca29c622ae42738e7b272,1900 Main 10th Floor
66ec6e5935d03d530c023cce,660ee9991afcae6a905f934d,Map Plan - Central Stores
677c30fc3928a61548b3ff9f,670fd5afbcdefcda9774c99f,Corridor Plan
67213678f5f22848e3b3d276,660ee9991afcae6a905f934d,Roof Map Plan
65957aef03e8e27a40676c27,615c9c17c847b902a6b4d0ed,Eastex Survey
65b9583cb499aca03c7fed09,65b7e62bae9aaa065d51c5a4,Flight 65b956b7b499aca03c7fece4 Manual Bucket
6628033316d05019788c2554,6628031116d05019788c2553,Site Survey Map
6751cefdf8daf9209a73a16b,656f8c0d0acd6e3c70fe2e8e,Video Plan
65d8cf400f88de0620fd6a7d,65d36019530547f90be8e853,East Facade
662295dd2332f653a092ddbd,661e8ca0b34b426b078b5591,Pano Four Oaks
65cba9ad3710da075a060ae8,64dfdb3af63279b492769ed5,Panorama Plan 5
665f21dd5a62837bb4f5c510,665f1f145a62837bb4f5c508,Bus Canopy Roof Photo Plan
664ca86f6814206fe58d3cd0,664ca5706814206fe58d3cc8,Bus Canopy Roof Photos
660ede731afcae6a905f933f,616f180c76126db17b5da3d3,Pano-FSC-NE
65e0b30bf56d653861a47e94,65de64dd0b86532937b50081,Pano 4
6706cf338e5f5571b610e138,64e3cbe39185fd426204c234,3X 610 South pano
664b98963cc29cb65a55e6a4,615c9c17c847b902a6b4d0ed,DJI_20240517110731_0002_V
67633c359518dbb4a21ba77e,6761b400823b60f287c8ff9a,VID_20241217_140217_00_012
6626bf68b5f411f3acaf8bba,6626bb43b5f411f3acaf8bb1,WWTP
6626bf7db5f411f3acaf8bbc,6626bb43b5f411f3acaf8bb1,Main Building Close Up
64cae155195c7c493c8112c3,64cadfdd195c7c493c8112bf,TPSS 7 Walkthrough - Interior 1
6627b6779b4e83470f94f089,6144d4229d358398ec96ad65,Admin Bldg 2nd Floor - Roscoe
64d6a804c514f89d864062f5,64d64887bc7d0f1a05f6ae0e,Northwest Preliminary Walkthrough 1
65c3be6697019c46ab749b96,65c3ba6e97019c46ab749b91,Photo Group #013024
671118f91bd6e434702a39bb,660ee9991afcae6a905f934d,Photos Plan
664cf5235c4804e66ac232c9,664ca5706814206fe58d3cc8,Bus Canopy Roof Photos
672a7d7fbe452b2396b15245,65d36019530547f90be8e853,Map #1
6675a1527cec4982a5612dd6,65de64dd0b86532937b50081,Pano 5
65eb73dcd5b98da6eb3191f7,658dcb31647a626081cfbd38,Corridor-3a
678562fc08466a03bcb0837c,672bc92a3e831d291abe840e,Panorama Plan 5
6785709a348fd95aba9b7247,660ee9991afcae6a905f934d,Pano - CS - S
6675a526da9e58fe05063e7a,65de64130b86532937b50080,Corridor Plan
6706d4318e5f5571b610e2e7,64e3cbe39185fd426204c234,7X Braeswood to Pressler
649c7e3f807a7821944807b8,649c4660807a7821944807a1,Photos Plan
65d4ceb48dbbdbbeb2934cef,65d4c5fc8dbbdbbeb2934ceb,Pano 3
6503573f262219797dd9dc2b,64e4e1dc2dc198259c258c8a,DJI_0099
6765f050c412517cffc54628,649c4660807a7821944807a1,DJI_20241220115508_0003_V
672cd384b0fd9727720ff815,660ee9991afcae6a905f934d,CS Interior Loading Dock to Old Generator Room
661ee4348a484e151f811ecb,661ee3c58a484e151f811ec8,VID_20240416_143528_10_024
67819c5d1394e2351c58234a,6144ad079d358398ec96ab18,Facilities Maint Shop
665e106c54d3a6018a5e2563,66579128b5ad85367bc68917,VID_20240412_082345_10_014
6626bf3fb5f411f3acaf8bb8,6626bb43b5f411f3acaf8bb1,Site 45d Imagery
66d86c02d06a019521c56e8a,660ee9991afcae6a905f934d,Photo Group #1
65ff015006143a4c710806be,615c9951c847b902a6b4d0e9,Panorama Plan 2
6622c09d3705a14f824a78a2,661e8ca0b34b426b078b5591,Pano Richmond
666c7366a411cb833683a3a9,6144d4229d358398ec96ad65,Panorama Plan 1
649c47a8807a7821944807a2,649c4660807a7821944807a1,Pano #1
65d9006adb93351d9d960f2e,65d370ea530547f90be8e867,Pano 2
649c7ffe807a7821944807bb,649c7fd0807a7821944807ba,Map #1
64d6a787c514f89d864062f3,64d64887bc7d0f1a05f6ae0e,M300 Pedestrian Walkway
667b260af3f2d69efdb3e819,64e3cbe39185fd426204c234,Map #1
66d0a3f3a122c0f73e452d90,660ee9991afcae6a905f934d,New Photo Group
667f0c9d68ada8d928cbe81a,667c571b842755cbed576e2d,Map Plan
649c78de807a7821944807b3,649c78b8807a7821944807b0,Map Plan
658f1df386cd1b58bb058d98,64e4e1dc2dc198259c258c8a,Vertical 2
6622c562e7f2fda640b6cbd2,661e8ca0b34b426b078b5591,Pano West Alabama/Galleria
66ec6c3635d03d530c023b56,660ee9991afcae6a905f934d,Pano - CS - Mid
665f34775a62837bb4f5c520,665f1f145a62837bb4f5c508,West Wall Facade
663248974e0a57c0719a1409,663248874e0a57c0719a1408,Center Pano
652703629eb86fd8ff9b17c2,649c4660807a7821944807a1,Untitled Preprocessed Panorama
6527055c9eb86fd8ff9b17d8,649c4660807a7821944807a1,Untitled Preprocessed Panorama
672a5864d3e6e3bc3504e7a4,670056a35b28e7962b1fd67b,12 Hwy59-Fannin NB on Bus Lane to Xwalk for Restroom  10-11-2024
65dfe420324da804e14118df,65d36019530547f90be8e853,VID_00_017 Level 1 North
65d0ce53a35e5925f72edbfe,65d0ce24a35e5925f72edbfd,VID_20240212_145126_00_006
66e49489b905e86516c4fc7a,6144d4229d358398ec96ad65,Admin Bldg 2nd Floor - Roscoe
66290d029b4e83470f94f0a9,64cae2af195c7c493c8112c8,VID_20240419_114004_10_043
67362659ff1f9c8ae7468219,664ca5706814206fe58d3cc8,Fuel & Service Bldg Lane 2
66aba59a35cd626798eb4cfa,665f1f145a62837bb4f5c508,Bus Canopy Roof Photo Plan (Admin Bldg?)
66981317eeb7626f24d51411,65982d77e94c7f7aca4c6958,Panorama Plan
66e49a5afab022b1815c36a6,660ee7fd1afcae6a905f9348,Pano #3
6503501c262219797dd9dc19,64e4e1dc2dc198259c258c8a,Map #1
66561c16b733ecccc659a919,616dc6b4562985250e3980d7,Map Plan
672e648724e498856a35abb0,66f423c5e054d32fe7b74d3d,Map Plan
66a926ded800ccb026a51369,667c6575842755cbed576e34,Map Plan
65c510fd17144c6a16361447,64dfdb3af63279b492769ed5,Pierce to Lamar Manual
616edea22e00977b7bc34b07,616dc6b4562985250e3980d7,Map Plan
66c8a6ae49bdf769e4ae476b,66c8944f49bdf769e4ae4769,Map Plan
65982e59e94c7f7aca4c6959,65982d77e94c7f7aca4c6958,Survey Map
65b933940021a827d598f69c,65b1459a182fd16baff52722,Video Site Plan
65eb5b85a579042a8d587826,658dcb31647a626081cfbd38,test 2ab video
