project_id,name,location_lat,location_lng,lvl1_folder_name,lvl2_folder_name,Facility Name
65c50fa217144c6a16361440,Redline Pierce to Lamar,29.75018736,-95.37086816,Rail MOW,,
671fa2c5b5247320c579b91a,Segment 38 and 39 Westheimer Plaza Dr West,29.70854181,-95.67455113,Undeveloped Properties,,
66fd5b18b197fd361b3564d5,Segment 18 a and b Alder to Renwick,29.72411433,-95.48245668,Undeveloped Properties,,
66f458e0e054d32fe7b74d62,Segment 16-Royalton to Chimney Rock,29.72480147,-95.47443151,Undeveloped Properties,,
67607b95f6653cb906ee77be,Boost 56 16770 Imperial Valley Drive,29.94318646,-95.39579988,BOOST,BOOST 56,BOOST 56 Segment A
659833f8e94c7f7aca4c695d,Kuykendahl Park and Ride,29.97325897,-95.42509977,Facility Maintenance,Park and Rides,Kuykendahl
64e3cbe39185fd426204c234,RedLine - Fannin South to Pierce Elevated,29.74324298,-95.37581205,Rail MOW,,
672bc92a3e831d291abe840e,MOW Building Build,29.77268344,-95.3615883,Undeveloped Properties,,
614373b398bc87f10604b0c6,FallBrook BOF ,29.930298,-95.41591644,,,
658dcb31647a626081cfbd38,University Line - Segment 1,29.71813486,-95.55953264,BRT,University Line,
6630ffc420abeeb10e440d3d,Theater Platform,29.76118744,-95.36743599,Rail Platforms,,
65fb6bf84577fc499df7ce71,Museum Station,29.72442122,-95.38819849,Rail Platforms,,
65c3bf3797019c46ab749b9a,Magnolia TC Rail Platform,29.73590218,-95.30284291,Rail Platforms,,
65fb736c4577fc499df7ce76,Main Street Station,29.75629125,-95.36547482,Rail Platforms,,
665a1768f0f1feaed75b42c4,McGowen Station,29.7454216,-95.37408605,Rail Platforms,,
661ee7038a484e151f811ed1,Ambassador Platform,29.74678519,-95.46118523,BRT,Silverline,
661eec428a484e151f811ed3,San Felipe Platform,29.75027354,-95.46125765,BRT,Silverline,
661eef098a484e151f811ed9,Four Oaks Platform,29.75253583,-95.46006067,BRT,Silverline,
6621332b41600f2840a2c164,Alabama Platform,29.737706,-95.46069969,BRT,Silverline,
66fffd9d14cb534eefc23013,Segment 24 Hillcroft to Fondren,29.72145192,-95.51119924,Undeveloped Properties,,
667c3c2c98c39b76ca5f8a61,4708 San Jacinto Street Undeveloped,29.731075,-95.383262,Undeveloped Properties,,
65d7a59a9b4d1fa491af07fd,Fondren TC (formerly Missouri City PR),29.6220745,-95.50684869,Facility Maintenance,Transit Centers,
65982d77e94c7f7aca4c6958,Kashmere Transit Center,29.81419181,-95.32798303,Facility Maintenance,Transit Centers,
65b1313d182fd16baff5271a,Cypress Park and Ride,29.96472008,-95.68547845,Facility Maintenance,Park and Rides,Cypress
65b1459a182fd16baff52722,West Little York Park and Ride,29.86919629,-95.55315971,Facility Maintenance,Park and Rides,West Little York
661e88e2b34b426b078b558d,Uptown Park SB BRT,29.75425084,-95.45808882,Facility Maintenance,BRT,
67608779f6653cb906ee77c2,BOOST 56 425 North Sam Houston Parkway,29.94052988,-95.39649725,BOOST,BOOST 56,BOOST 56 Segment A
663248874e0a57c0719a1408,Bellaire Transit Center,29.70574386,-95.46876803,Facility Maintenance,Transit Centers,
65de631f0b86532937b5007d,Reliant Park/Astrodome,29.68595678,-95.40341198,Rail Platforms,,
65fb72e34577fc499df7ce74,Central Station,29.75889103,-95.36342025,Rail Platforms,,
66c8944f49bdf769e4ae4769,TMC Transit Center,29.70437155,-95.40346516,Facility Maintenance,Transit Centers,
66f4321be054d32fe7b74d49,Segment 9- Edloe to Weslayan,29.72796458,-95.43783009,Undeveloped Properties,,
616f180c76126db17b5da3d3,Field Service Center Facility,29.76744175,-95.28871536,Facility Maintenance,Administration Facilities,
615caf6b462d4ffbbed658f9,Ceasar Chavez EB Platform,29.73732957,-95.30771412,,,
649c78b8807a7821944807b0,Lower Uptown Park and Ride,29.72545075,-95.46480909,Facility Maintenance,Park and Rides,
64cadfdd195c7c493c8112bf,TPSS N7,29.74953999,-95.37105449,Rail MOW,TPSS,
65fb71d34577fc499df7ce72,Preston Station,29.76115837,-95.36163658,Rail Platforms,,
65d0c6ddb5e6957859a5a07a,Altic/Howard Hughes Platform,29.74119125,-95.32016695,Rail Platforms,,
65fc098b4577fc499df7ce7b,Moody Park Station,29.79541538,-95.3658396,Rail Platforms,,
667c3dfe98c39b76ca5f8a67,1000 Dart Street,29.770033,-95.367343,Undeveloped Properties,,
670fd8fdbcdefcda9774c9a3,Segment 32 HCTRA Alief Clodine Exit to S Dairy Ashford,29.71447293,-95.60116053,Undeveloped Properties,,
670006a814cb534eefc2301a,Segment 27 Gessner to Ranchester,29.71915049,-95.54434061,Undeveloped Properties,,
667c6575842755cbed576e34,Segment 1-Dunlavy to Woodhead St Undeveloped,29.73064778,-95.40323488,Undeveloped Properties,,
667dc2f148992c4570e2d3b5,Acres Homes Transit Center,29.86484673,-95.43097973,Facility Maintenance,Transit Centers,
65d36866530547f90be8e85a,Kingsland Park and Ride,29.77353869,-95.74453231,Facility Maintenance,Park and Rides,Kingsland
65d370a3530547f90be8e866,Metro Boulevard,29.70290463,-95.62784474,Facility Maintenance,Park and Rides,
615ca29c622ae42738e7b272,1900 Main,29.7502712,-95.37098408,Facility Maintenance,Administration Facilities,
656f816a0acd6e3c70fe2e8b,Addicks Park and Ride,29.78714146,-95.63768148,Facility Maintenance,Park and Rides,Addicks
64e4e1dc2dc198259c258c8a,Townsen Park & Ride,30.019147,-95.263108,Facility Maintenance,Park and Rides,Townsen
658dca77647a626081cfbd36,METRO Westchase Park & Ride,29.71921571,-95.53496361,,,
6515eef99ae69f2e42c1de86,Bridge-Rusk Street Bridge over Buffalo Bayou (TXDOT ID: NONE),29.76318525,-95.37014723,Bridges,,
615cb35ec1136ad2c00bae6e,Coffee Plant EB,29.74988696,-95.37104711,,,
661ee3c58a484e151f811ec8,1900 Main TC,29.75030382,-95.37119623,Facility Maintenance,Transit Centers,1900 Main TC
66f4549ce054d32fe7b74d5b,Segment 14- 610 to S Rice,29.72575647,-95.46409965,Undeveloped Properties,,
667c3b2198c39b76ca5f8a5e,Vacant Land-1088 Blodgett Street Undeveloped,29.73167195,-95.3840695,Undeveloped Properties,,
65d76ab39b4d1fa491af07f5,Westwood Park and Ride,29.67212273,-95.54975867,Facility Maintenance,Park and Rides,Westwood
659c5d2e4433c401ca6f9e64,North Shepherd Park and Ride,29.8747,-95.41304,Facility Maintenance,Park and Rides,North Shepherd
670056a35b28e7962b1fd67b,I59 - Wheeler Reconstruction,29.73211746,-95.3832525,Planning Department,,
6144d6e79d358398ec96ad69,ROC Facility ,29.68102484,-95.40325642,Facility Maintenance,Rail Operating Facilities,
6515e50a9ae69f2e42c1de7f,Bridge-Fannin Boulevard Bridge over Brays Bayou (TXDOT ID: 12020B23569614),29.70210243,-95.40237866,Bridges,,
65fb26d31de14e6abc572756,El Dorado P&R,27.25493478,-98.56452942,,,
65fb6afa4577fc499df7ce70,Hermann Park/Houston Zoo,29.72004148,-95.39357901,Rail Platforms,,
67000b5514cb534eefc2301c,Segment 28 Ranchester to Beltway 8,29.71833053,-95.55246234,Undeveloped Properties,,
660da57afb544d3f4dd99979,Denver Harbor Transit Center,29.77521762,-95.31542748,Facility Maintenance,Transit Centers,
64bee8398a5eae1cfffe3933,HVAC,29.74666167,-95.33624411,,,
616721c7484c6cd58ff32343,Sidney Street,29.74298135,-95.32386388,Rail MOW,,
616dc6b4562985250e3980d7,S&I Facility ,29.73883671,-95.31695366,Facility Maintenance,Rail Operating Facilities,
651b2c1030a09047f88aed07,Addicks to Dairy Ashford Roadway,29.78765358,-95.62192082,Facility Maintenance,Park and Rides,Addicks
6515ee469ae69f2e42c1de83,Bridge-Martin Luther King Boulevard over Brays Bayou (TXDOT ID: NONE),29.714241,-95.339048,Bridges,,
615c9951c847b902a6b4d0e9,Bay Area Park & Ride,29.552973,-95.124102,Facility Maintenance,Park and Rides,Bay Area
65de62350b86532937b5007a,Smithlands Platform,29.69651309,-95.40483892,Rail Platforms,,
65e74774d297cc7eed655084,Leeland Platform,29.73935372,-95.34576614,Rail Platforms,,
6657904bb5ad85367bc68914,Central Rusk,29.75821868,-95.3633371,Rail Platforms,,
6621329b41600f2840a2c163,Richmond Platform,29.73227348,-95.46071923,BRT,Silverline,
66f41a26e054d32fe7b74d35,Segment 3-Hazard Street to Shepherd,29.73022854,-95.4087013,Undeveloped Properties,,
66326c9a4e0a57c0719a141e,Hiram Clarke Transit Center,29.61393669,-95.43179512,Facility Maintenance,Transit Centers,
661e8ca0b34b426b078b5591,BRT Platform Corridor,29.75536157,-95.45761943,BRT,Silverline,
64fb45b97d9cec4b12ce6c03,Wheeler Transit Center,29.73295535,-95.38304731,Facility Maintenance,Transit Centers,
615cadf8690847747536c264,Malkovich Door Brewery,29.75065165,-95.3699588,,,
64b8466423382a84be97c1d9,CIP,29.93232493,-95.41597009,Facility Maintenance,Bus Operating Facilities,Fallbrook
65fb69104577fc499df7ce6d,TMC Platform,29.70415614,-95.402897,Rail Platforms,,
65d0d0b8a35e5925f72edc00,Coffee Plant/Second Ward,29.74755708,-95.34011453,Rail Platforms,,
